location,total_sqft,size,area_type,balcony,bath,price
Electronic City Phase II,1056.0,2,Super built-up  Area,1.0,2.0,39.07
Chikka Tirupathi,2600.0,4,Plot  Area,3.0,5.0,120.0
Uttarahalli,1440.0,3,Built-up  Area,3.0,2.0,62.0
Lingadheeranahalli,1521.0,3,Super built-up  Area,1.0,3.0,95.0
Kothanur,1200.0,2,Super built-up  Area,1.0,2.0,51.0
Whitefield,1170.0,2,Super built-up  Area,1.0,2.0,38.0
Marathahalli,1310.0,3,Super built-up  Area,1.0,3.0,63.25
Whitefield,1800.0,3,Super built-up  Area,2.0,2.0,70.0
Whitefield,2785.0,4,Plot  Area,3.0,5.0,295.0
7th Phase JP Nagar,1000.0,2,Super built-up  Area,1.0,2.0,38.0
Gottigere,1100.0,2,Built-up  Area,2.0,2.0,40.0
Sarjapur,2250.0,3,Plot  Area,2.0,3.0,148.0
Mysore Road,1175.0,2,Super built-up  Area,2.0,2.0,73.5
Bisuvanahalli,1180.0,3,Super built-up  Area,2.0,3.0,48.0
Raja Rajeshwari Nagar,1540.0,3,Super built-up  Area,3.0,3.0,60.0
others,2770.0,3,Super built-up  Area,2.0,4.0,290.0
others,1100.0,2,Super built-up  Area,2.0,2.0,48.0
Kengeri,600.0,1,Built-up  Area,1.0,1.0,15.0
Binny Pete,1755.0,3,Super built-up  Area,1.0,3.0,122.0
Thanisandra,2800.0,4,Plot  Area,2.0,5.0,380.0
Bellandur,1767.0,3,Super built-up  Area,1.0,3.0,103.0
Thanisandra,510.0,1,Super built-up  Area,0.0,1.0,25.25
others,1250.0,3,Super built-up  Area,2.0,3.0,56.0
Electronic City,660.0,2,Super built-up  Area,1.0,1.0,23.1
Whitefield,1610.0,3,Built-up  Area,2.0,3.0,81.0
Ramagondanahalli,1151.0,2,Super built-up  Area,2.0,2.0,48.77
Electronic City,1025.0,3,Super built-up  Area,1.0,2.0,47.0
Yelahanka,3525.0,4,Super built-up  Area,0.0,4.0,186.0
Bisuvanahalli,1075.0,3,Super built-up  Area,1.0,2.0,35.0
Hebbal,1760.0,3,Super built-up  Area,2.0,2.0,123.0
Raja Rajeshwari Nagar,1693.0,3,Super built-up  Area,3.0,3.0,57.39
Kanakpura Road,700.0,2,Super built-up  Area,1.0,2.0,36.0
Electronics City Phase 1,1070.0,2,Super built-up  Area,1.0,2.0,45.5
Kundalahalli,1724.0,3,Super built-up  Area,2.0,3.0,125.0
