area_type,balcony,location,size,total_sqft,bath,price
Super built-up  Area,1.0,1st Block Jayanagar,4,2850.0,4.0,428.0
Super built-up  Area,2.0,1st Block Jayanagar,3,1630.0,3.0,194.0
Super built-up  Area,3.0,1st Block Jayanagar,3,1875.0,2.0,235.0
Built-up  Area,0.0,1st Block Jayanagar,3,1200.0,2.0,130.0
Super built-up  Area,2.0,1st Block Jayanagar,2,1235.0,2.0,148.0
Super built-up  Area,0.0,1st Block Jayanagar,4,2750.0,4.0,413.0
Super built-up  Area,2.0,1st Block Jayanagar,4,2450.0,4.0,368.0
Super built-up  Area,1.0,1st Phase JP Nagar,3,1875.0,3.0,167.0
Super built-up  Area,1.0,1st Phase JP Nagar,3,2065.0,4.0,210.0
Super built-up  Area,2.0,1st Phase JP Nagar,3,2059.0,3.0,225.0
Super built-up  Area,1.0,1st Phase JP Nagar,2,1394.0,2.0,100.0
Super built-up  Area,2.0,1st Phase JP Nagar,2,1077.0,2.0,93.0
Plot  Area,0.0,1st Phase JP Nagar,2,1566.0,2.0,180.0
Built-up  Area,2.0,1st Phase JP Nagar,1,840.0,2.0,50.0
Super built-up  Area,3.0,1st Phase JP Nagar,3,1590.0,3.0,131.0
Super built-up  Area,2.0,1st Phase JP Nagar,3,2180.0,3.0,210.0
Super built-up  Area,2.0,1st Phase JP Nagar,2,1180.0,2.0,88.5
Built-up  Area,2.0,1st Phase JP Nagar,2,1394.0,2.0,85.0
Super built-up  Area,3.0,1st Phase JP Nagar,3,2077.0,3.0,175.0
Super built-up  Area,1.0,1st Phase JP Nagar,2,1205.0,2.0,85.0
Super built-up  Area,1.0,1st Phase JP Nagar,2,900.0,2.0,75.0
Plot  Area,2.0,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0
Plot  Area,1.0,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0
Plot  Area,2.0,2nd Stage Nagarbhavi,4,1500.0,3.0,230.0
Super built-up  Area,2.0,5th Phase JP Nagar,2,1075.0,2.0,60.0
Built-up  Area,3.0,5th Phase JP Nagar,2,1150.0,3.0,52.5
Built-up  Area,1.0,5th Phase JP Nagar,2,1256.0,2.0,62.8
Super built-up  Area,2.0,5th Phase JP Nagar,2,1207.0,2.0,63.0
Built-up  Area,2.0,5th Phase JP Nagar,3,1725.0,2.0,100.0
Super built-up  Area,2.0,5th Phase JP Nagar,2,1440.0,2.0,60.0
Built-up  Area,3.0,5th Phase JP Nagar,3,1700.0,2.0,100.0
Built-up  Area,1.0,5th Phase JP Nagar,1,600.0,1.0,30.0
Super built-up  Area,2.0,5th Phase JP Nagar,2,1390.0,2.0,65.0
Super built-up  Area,0.0,5th Phase JP Nagar,2,1000.0,2.0,48.0
Super built-up  Area,1.0,5th Phase JP Nagar,3,1350.0,2.0,75.0
Super built-up  Area,1.0,5th Phase JP Nagar,1,552.0,1.0,23.5
Super built-up  Area,2.0,5th Phase JP Nagar,2,1200.0,2.0,51.0
Built-up  Area,2.0,5th Phase JP Nagar,2,1030.0,2.0,57.0
Super built-up  Area,1.0,5th Phase JP Nagar,2,1200.0,2.0,68.0
Built-up  Area,2.0,5th Phase JP Nagar,2,1190.0,2.0,61.8
Super built-up  Area,2.0,5th Phase JP Nagar,5,4000.0,5.0,170.0
Super built-up  Area,1.0,5th Phase JP Nagar,2,1080.0,2.0,53.0
Super built-up  Area,2.0,5th Phase JP Nagar,2,1041.0,2.0,54.0
Super built-up  Area,1.0,5th Phase JP Nagar,2,812.0,2.0,42.0
Built-up  Area,2.0,5th Phase JP Nagar,2,1010.0,2.0,57.0
Super built-up  Area,2.0,6th Phase JP Nagar,2,1192.0,2.0,74.0
Super built-up  Area,3.0,6th Phase JP Nagar,2,1180.0,2.0,80.0
Built-up  Area,2.0,6th Phase JP Nagar,2,1140.0,2.0,65.0
Super built-up  Area,1.0,6th Phase JP Nagar,2,1213.0,2.0,63.0
Super built-up  Area,2.0,6th Phase JP Nagar,2,1170.0,2.0,120.0
Built-up  Area,2.0,6th Phase JP Nagar,2,1216.0,2.0,60.0
Super built-up  Area,3.0,6th Phase JP Nagar,3,2003.0,3.0,200.0
Super built-up  Area,3.0,6th Phase JP Nagar,3,1810.0,3.0,131.0
Super built-up  Area,2.0,6th Phase JP Nagar,3,1515.0,2.0,135.0
Super built-up  Area,3.0,6th Phase JP Nagar,2,1192.0,2.0,75.0
Super built-up  Area,1.0,6th Phase JP Nagar,2,1280.0,2.0,88.0
Built-up  Area,2.0,7th Phase JP Nagar,2,1080.0,2.0,72.0
Super built-up  Area,2.0,7th Phase JP Nagar,2,1270.0,2.0,93.0
Built-up  Area,1.0,7th Phase JP Nagar,3,1420.0,2.0,100.0
Built-up  Area,1.0,7th Phase JP Nagar,3,1850.0,3.0,150.0
Built-up  Area,1.0,7th Phase JP Nagar,2,1245.0,2.0,94.0
Super built-up  Area,1.0,7th Phase JP Nagar,2,1175.0,2.0,82.0
Super built-up  Area,1.0,7th Phase JP Nagar,3,1400.0,2.0,95.0
Super built-up  Area,1.0,7th Phase JP Nagar,3,2225.0,3.0,160.0
